transaction_id	amount	is_foreign	is_online	device_type	customer_age	account_age_days	merchant_category	amount_deviation	is_fraud	transaction_day	location_risk_score	merchant_risk_score	customer_segment	num_cards_linked	avg_tx_amount_last_30d	email_domain_type	failed_login_attempts_7d	customer_tenure_level	txn_hour_category
TX0000000	37.54	0	1	desktop	73	3318	entertainment	-47.81	0	6	31.13	18.39	medium	7	41.9	free	1	loyal	morning
TX0000001	240.81	0	0	mobile	38	2778	travel	-29.36	0	3	15.36	52.67	low	3	94.57	free	0	loyal	afternoon
TX0000002	105.34	0	0	tablet	18	417	electronics	-28.84	0	6	71.66	54.78	low	3	111.43	free	0	regular	afternoon
TX0000003	73.04	0	0	mobile	69	3208	entertainment	42.84	0	5	2.36	38.47	low	0	92.41	free	0	loyal	night
TX0000004	13.57	0	0	desktop	20	1855	electronics	-58.74	0	1	10.81	46.71	low	2	139.51	corporate	0	loyal	night
TX0000005	13.57	0	1	desktop	30	1526	travel	49.33	0	1	17.3	45.49	medium	3	43.92	free	0	loyal	morning
TX0000006	4.79	0	1	desktop	24	3109	entertainment	9.58	0	2	69.1	45.75	medium	3	88.85	free	0	loyal	afternoon
TX0000007	160.9	0	0	mobile	23	1597	entertainment	-27.05	0	0	65.44	26.63	high	3	64.58	corporate	1	loyal	afternoon
TX0000008	73.53	0	1	desktop	23	1967	entertainment	-21.92	0	2	62.15	16.95	high	3	85.97	free	0	loyal	afternoon
TX0000009	98.5	0	0	mobile	51	3269	travel	-11.42	0	6	41.25	39.15	low	2	143.83	free	0	loyal	morning
TX0000010	1.66	0	0	mobile	49	1384	travel	-10.41	0	6	93.45	46.35	medium	2	149.39	free	1	loyal	afternoon
TX0000011	280.28	0	0	desktop	33	2005	travel	-34.15	0	2	96.3	95.34	medium	3	97.81	free	1	loyal	night
TX0000012	142.91	1	0	tablet	55	66	clothing	104.97	0	4	36.97	74.85	low	4	116.95	corporate	0	new	afternoon
TX0000013	19.1	0	0	desktop	25	3332	clothing	28.94	0	2	52.62	86.14	medium	2	122.27	free	1	loyal	afternoon
TX0000014	16.05	0	0	mobile	38	212	grocery	45.62	0	1	69.44	38.63	low	1	109.16	free	0	regular	afternoon
TX0000015	16.21	0	1	desktop	74	2369	entertainment	7.74	0	3	26.79	57.26	medium	2	102.67	free	0	loyal	night
TX0000016	29.02	0	1	mobile	28	1575	travel	14.68	0	4	76.29	74.23	low	1	95.44	free	0	loyal	afternoon
TX0000017	59.51	0	1	mobile	67	99	entertainment	-15.46	0	1	76.95	18.35	low	5	56.75	free	0	new	night
TX0000018	45.24	0	0	desktop	40	266	electronics	56.74	0	5	50.09	45.92	low	1	66.48	free	1	regular	afternoon
TX0000019	27.54	0	0	mobile	23	493	electronics	4.44	0	6	41.57	34.83	medium	2	81.36	free	1	regular	afternoon
TX0000020	75.71	0	0	tablet	63	1171	travel	-33.11	0	3	64.09	54.78	medium	1	137.09	corporate	2	loyal	night
TX0000021	12.02	0	0	mobile	32	220	clothing	-133.42	0	3	1.63	29.21	medium	2	51.19	corporate	0	regular	afternoon
TX0000022	27.64	1	0	mobile	28	959	grocery	-43.49	0	4	85.58	35.47	high	3	47.77	free	0	regular	night
TX0000023	36.5	0	0	desktop	44	1916	clothing	-8.37	0	2	86.46	83.23	high	3	43.73	corporate	0	loyal	morning
TX0000024	48.71	0	0	desktop	32	3607	entertainment	2.88	0	4	50.52	77.75	low	2	98.6	free	2	loyal	afternoon
TX0000025	123.03	0	0	mobile	62	3605	clothing	-58.35	0	4	1.67	40.71	low	0	104.35	corporate	0	loyal	night
TX0000026	17.82	1	0	mobile	55	2478	travel	-107.4	0	5	37.14	9.79	medium	4	72.81	free	3	loyal	morning
TX0000027	57.76	0	0	desktop	21	1944	clothing	110.76	0	4	45.51	28.57	low	2	84.42	free	1	loyal	night
